Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
0,2022,Emmanuel MACRON,François FILLON,False
1,2022,Emmanuel MACRON,François FILLON,False
2,2022,Marine LE PEN,Marine LE PEN,True
3,2022,Marine LE PEN,Marine LE PEN,True
4,2022,Emmanuel MACRON,François FILLON,False
5,2022,Marine LE PEN,Marine LE PEN,True
6,2022,Marine LE PEN,Marine LE PEN,True
7,2022,Emmanuel MACRON,François FILLON,False
8,2022,Marine LE PEN,Marine LE PEN,True
9,2022,Marine LE PEN,Marine LE PEN,True
10,2022,Jean-Luc MÉLENCHON,François FILLON,False
11,2022,Marine LE PEN,Marine LE PEN,True
12,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
13,2022,Emmanuel MACRON,François FILLON,False
14,2022,Marine LE PEN,Marine LE PEN,True
15,2022,Marine LE PEN,Marine LE PEN,True
16,2022,Marine LE PEN,Marine LE PEN,True
17,2022,Marine LE PEN,Marine LE PEN,True
18,2022,Marine LE PEN,Marine LE PEN,True
19,2022,Marine LE PEN,Marine LE PEN,True
20,2022,Marine LE PEN,Marine LE PEN,True
21,2022,Marine LE PEN,Marine LE PEN,True
22,2022,Emmanuel MACRON,Emmanuel MACRON,True
23,2022,Marine LE PEN,Marine LE PEN,True
24,2022,Marine LE PEN,Marine LE PEN,True
25,2022,Marine LE PEN,Marine LE PEN,True
26,2022,Marine LE PEN,Marine LE PEN,True
27,2022,Marine LE PEN,Marine LE PEN,True
28,2022,Marine LE PEN,Marine LE PEN,True
29,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
30,2022,Emmanuel MACRON,Emmanuel MACRON,True
31,2022,Jean-Luc MÉLENCHON,François FILLON,False
32,2022,Emmanuel MACRON,Emmanuel MACRON,True
33,2022,Marine LE PEN,Marine LE PEN,True
34,2022,Emmanuel MACRON,Emmanuel MACRON,True
35,2022,Marine LE PEN,Marine LE PEN,True
36,2022,Marine LE PEN,Marine LE PEN,True
37,2022,Marine LE PEN,Marine LE PEN,True
38,2022,Emmanuel MACRON,François FILLON,False
39,2022,Emmanuel MACRON,Emmanuel MACRON,True
40,2022,Marine LE PEN,Marine LE PEN,True
41,2022,Marine LE PEN,Marine LE PEN,True
42,2022,Marine LE PEN,Marine LE PEN,True
43,2022,Marine LE PEN,Marine LE PEN,True
44,2022,Emmanuel MACRON,Emmanuel MACRON,True
45,2022,Marine LE PEN,Marine LE PEN,True
46,2022,Marine LE PEN,Marine LE PEN,True
47,2022,Emmanuel MACRON,François FILLON,False
48,2022,Emmanuel MACRON,Emmanuel MACRON,True
49,2022,Marine LE PEN,Marine LE PEN,True
50,2022,Marine LE PEN,Marine LE PEN,True
51,2022,Marine LE PEN,Marine LE PEN,True
52,2022,Marine LE PEN,Marine LE PEN,True
54,2022,Emmanuel MACRON,François FILLON,False
55,2022,Marine LE PEN,Marine LE PEN,True
56,2022,Emmanuel MACRON,Emmanuel MACRON,True
57,2022,Emmanuel MACRON,François FILLON,False
58,2022,Marine LE PEN,Marine LE PEN,True
59,2022,Emmanuel MACRON,Emmanuel MACRON,True
60,2022,Jean-Luc MÉLENCHON,François FILLON,False
61,2022,Marine LE PEN,Marine LE PEN,True
62,2022,Marine LE PEN,Marine LE PEN,True
63,2022,Marine LE PEN,Marine LE PEN,True
64,2022,Emmanuel MACRON,Emmanuel MACRON,True
65,2022,Emmanuel MACRON,Emmanuel MACRON,True
66,2022,Emmanuel MACRON,Emmanuel MACRON,True
67,2022,Marine LE PEN,Marine LE PEN,True
68,2022,Emmanuel MACRON,Emmanuel MACRON,True
69,2022,Marine LE PEN,Marine LE PEN,True
70,2022,Emmanuel MACRON,François FILLON,False
71,2022,Emmanuel MACRON,Emmanuel MACRON,True
72,2022,Emmanuel MACRON,François FILLON,False
73,2022,Marine LE PEN,Marine LE PEN,True
74,2022,Marine LE PEN,Marine LE PEN,True
75,2022,Marine LE PEN,Marine LE PEN,True
76,2022,Marine LE PEN,Marine LE PEN,True
77,2022,Marine LE PEN,Marine LE PEN,True
78,2022,Marine LE PEN,Marine LE PEN,True
79,2022,Emmanuel MACRON,François FILLON,False
80,2022,Marine LE PEN,Marine LE PEN,True
81,2022,Marine LE PEN,Marine LE PEN,True
82,2022,Marine LE PEN,Marine LE PEN,True
84,2022,Marine LE PEN,Marine LE PEN,True
85,2022,Emmanuel MACRON,Emmanuel MACRON,True
86,2022,Marine LE PEN,Marine LE PEN,True
87,2022,Marine LE PEN,Marine LE PEN,True
88,2022,Marine LE PEN,Marine LE PEN,True
90,2022,Marine LE PEN,Marine LE PEN,True
91,2022,Marine LE PEN,Marine LE PEN,True
92,2022,Marine LE PEN,Marine LE PEN,True
93,2022,Marine LE PEN,Marine LE PEN,True
94,2022,Marine LE PEN,Marine LE PEN,True
95,2022,Emmanuel MACRON,Emmanuel MACRON,True
96,2022,Emmanuel MACRON,François FILLON,False
97,2022,Emmanuel MACRON,Emmanuel MACRON,True
98,2022,Marine LE PEN,Marine LE PEN,True
99,2022,Marine LE PEN,Marine LE PEN,True
100,2022,Marine LE PEN,Marine LE PEN,True
101,2022,Emmanuel MACRON,Emmanuel MACRON,True
102,2022,Jean-Luc MÉLENCHON,François FILLON,False
103,2022,Emmanuel MACRON,François FILLON,False
104,2022,Marine LE PEN,Marine LE PEN,True
105,2022,Emmanuel MACRON,François FILLON,False
106,2022,Marine LE PEN,Marine LE PEN,True
107,2022,Marine LE PEN,Marine LE PEN,True
108,2022,Marine LE PEN,Marine LE PEN,True
109,2022,Emmanuel MACRON,François FILLON,False
110,2022,Marine LE PEN,Marine LE PEN,True
111,2022,Emmanuel MACRON,François FILLON,False
113,2022,Emmanuel MACRON,Emmanuel MACRON,True
114,2022,Marine LE PEN,Marine LE PEN,True
115,2022,Marine LE PEN,Marine LE PEN,True
116,2022,Emmanuel MACRON,François FILLON,False
117,2022,Marine LE PEN,Marine LE PEN,True
118,2022,Marine LE PEN,Marine LE PEN,True
119,2022,Marine LE PEN,Marine LE PEN,True
120,2022,Marine LE PEN,Marine LE PEN,True
121,2022,Marine LE PEN,Marine LE PEN,True
122,2022,Emmanuel MACRON,Emmanuel MACRON,True
123,2022,Marine LE PEN,Marine LE PEN,True
124,2022,Marine LE PEN,Marine LE PEN,True
125,2022,Marine LE PEN,Marine LE PEN,True
126,2022,Marine LE PEN,Marine LE PEN,True
127,2022,Emmanuel MACRON,François FILLON,False
128,2022,Emmanuel MACRON,Emmanuel MACRON,True
129,2022,Emmanuel MACRON,Emmanuel MACRON,True
131,2022,Marine LE PEN,Marine LE PEN,True
132,2022,Marine LE PEN,Marine LE PEN,True
133,2022,Marine LE PEN,Marine LE PEN,True
134,2022,Marine LE PEN,Marine LE PEN,True
135,2022,Marine LE PEN,Marine LE PEN,True
136,2022,Jean-Luc MÉLENCHON,François FILLON,False
137,2022,Marine LE PEN,Marine LE PEN,True
138,2022,Marine LE PEN,Marine LE PEN,True
139,2022,Emmanuel MACRON,Emmanuel MACRON,True
141,2022,Marine LE PEN,Marine LE PEN,True
142,2022,Marine LE PEN,Marine LE PEN,True
143,2022,Emmanuel MACRON,Emmanuel MACRON,True
144,2022,Emmanuel MACRON,Emmanuel MACRON,True
145,2022,Emmanuel MACRON,Emmanuel MACRON,True
146,2022,Emmanuel MACRON,Emmanuel MACRON,True
147,2022,Marine LE PEN,Marine LE PEN,True
148,2022,Marine LE PEN,Marine LE PEN,True
149,2022,Marine LE PEN,Marine LE PEN,True
150,2022,Emmanuel MACRON,Emmanuel MACRON,True
151,2022,Marine LE PEN,Marine LE PEN,True
152,2022,Marine LE PEN,Marine LE PEN,True
153,2022,Marine LE PEN,Marine LE PEN,True
154,2022,Marine LE PEN,Marine LE PEN,True
155,2022,Emmanuel MACRON,Emmanuel MACRON,True
156,2022,Emmanuel MACRON,François FILLON,False
157,2022,Marine LE PEN,Marine LE PEN,True
158,2022,Jean-Luc MÉLENCHON,François FILLON,False
159,2022,Marine LE PEN,Marine LE PEN,True
160,2022,Emmanuel MACRON,François FILLON,False
161,2022,Marine LE PEN,Marine LE PEN,True
162,2022,Marine LE PEN,Marine LE PEN,True
163,2022,Marine LE PEN,Marine LE PEN,True
164,2022,Marine LE PEN,Marine LE PEN,True
166,2022,Emmanuel MACRON,François FILLON,False
167,2022,Marine LE PEN,Marine LE PEN,True
168,2022,Marine LE PEN,Marine LE PEN,True
169,2022,Marine LE PEN,Marine LE PEN,True
170,2022,Emmanuel MACRON,François FILLON,False
171,2022,Marine LE PEN,Marine LE PEN,True
172,2022,Marine LE PEN,Marine LE PEN,True
173,2022,Emmanuel MACRON,Emmanuel MACRON,True
174,2022,Emmanuel MACRON,Emmanuel MACRON,True
175,2022,Marine LE PEN,Marine LE PEN,True
