Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
18379,2022,Emmanuel MACRON,Emmanuel MACRON,True
31485,2022,Marine LE PEN,Marine LE PEN,True
17894,2022,Emmanuel MACRON,Emmanuel MACRON,True
2286,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
19430,2017,Marine LE PEN,Marine LE PEN,True
16409,2022,Emmanuel MACRON,Emmanuel MACRON,True
17404,2022,Marine LE PEN,Marine LE PEN,True
25444,2017,François FILLON,Emmanuel MACRON,False
20638,2017,Marine LE PEN,Marine LE PEN,True
33187,2017,Emmanuel MACRON,François FILLON,False
27384,2022,Marine LE PEN,Marine LE PEN,True
13673,2017,Emmanuel MACRON,Emmanuel MACRON,True
19882,2022,Marine LE PEN,Marine LE PEN,True
17130,2017,Emmanuel MACRON,Emmanuel MACRON,True
12431,2022,Marine LE PEN,Marine LE PEN,True
28845,2017,François FILLON,François FILLON,True
28809,2022,Marine LE PEN,Marine LE PEN,True
11069,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
609,2022,Marine LE PEN,Marine LE PEN,True
21375,2022,Marine LE PEN,Marine LE PEN,True
8969,2022,Marine LE PEN,Marine LE PEN,True
31972,2017,Marine LE PEN,Marine LE PEN,True
6212,2017,Marine LE PEN,Marine LE PEN,True
27465,2022,Emmanuel MACRON,Emmanuel MACRON,True
26315,2017,Marine LE PEN,Marine LE PEN,True
1990,2017,Marine LE PEN,Marine LE PEN,True
31225,2017,Marine LE PEN,Marine LE PEN,True
15187,2022,Marine LE PEN,Marine LE PEN,True
28408,2017,Marine LE PEN,Marine LE PEN,True
11378,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
34125,2022,Marine LE PEN,Marine LE PEN,True
34923,2017,Marine LE PEN,Marine LE PEN,True
6209,2022,Marine LE PEN,Marine LE PEN,True
8741,2017,François FILLON,François FILLON,True
88,2017,Marine LE PEN,Marine LE PEN,True
33695,2017,Emmanuel MACRON,Emmanuel MACRON,True
13696,2022,Marine LE PEN,Marine LE PEN,True
2165,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
25346,2017,Emmanuel MACRON,Emmanuel MACRON,True
14493,2017,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
34282,2022,Marine LE PEN,Marine LE PEN,True
7957,2022,Marine LE PEN,Marine LE PEN,True
21979,2022,Emmanuel MACRON,Emmanuel MACRON,True
8458,2022,Marine LE PEN,Marine LE PEN,True
27092,2017,Marine LE PEN,Marine LE PEN,True
3832,2022,Marine LE PEN,Marine LE PEN,True
31006,2022,Emmanuel MACRON,Emmanuel MACRON,True
2043,2022,Marine LE PEN,Marine LE PEN,True
26697,2017,Marine LE PEN,Marine LE PEN,True
14140,2022,Marine LE PEN,Marine LE PEN,True
14597,2017,Marine LE PEN,Marine LE PEN,True
4615,2022,Marine LE PEN,Marine LE PEN,True
13415,2017,Marine LE PEN,Marine LE PEN,True
30936,2017,Marine LE PEN,Marine LE PEN,True
8810,2017,François FILLON,François FILLON,True
15453,2022,Marine LE PEN,Marine LE PEN,True
9091,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
26390,2017,Marine LE PEN,Marine LE PEN,True
29560,2017,Marine LE PEN,Marine LE PEN,True
25094,2022,Emmanuel MACRON,Emmanuel MACRON,True
5346,2017,Marine LE PEN,Marine LE PEN,True
31963,2022,Marine LE PEN,Marine LE PEN,True
30628,2022,Marine LE PEN,Marine LE PEN,True
936,2017,Marine LE PEN,Marine LE PEN,True
11824,2022,Marine LE PEN,Marine LE PEN,True
25963,2017,Emmanuel MACRON,Emmanuel MACRON,True
11128,2017,Marine LE PEN,Marine LE PEN,True
24151,2017,Marine LE PEN,Marine LE PEN,True
24622,2022,Marine LE PEN,Marine LE PEN,True
6334,2022,Marine LE PEN,Marine LE PEN,True
19376,2022,Marine LE PEN,Marine LE PEN,True
10679,2017,Emmanuel MACRON,Emmanuel MACRON,True
16635,2022,Emmanuel MACRON,Emmanuel MACRON,True
15276,2022,Jean LASSALLE,Emmanuel MACRON,False
9944,2022,Marine LE PEN,Marine LE PEN,True
34090,2022,Emmanuel MACRON,Emmanuel MACRON,True
32124,2017,Marine LE PEN,Marine LE PEN,True
26448,2017,Marine LE PEN,Marine LE PEN,True
31689,2017,Marine LE PEN,Marine LE PEN,True
25684,2022,Jean LASSALLE,Emmanuel MACRON,False
1858,2022,Marine LE PEN,Marine LE PEN,True
17834,2017,Emmanuel MACRON,Emmanuel MACRON,True
127,2017,Emmanuel MACRON,Emmanuel MACRON,True
6081,2022,Marine LE PEN,Marine LE PEN,True
985,2017,Marine LE PEN,Marine LE PEN,True
33509,2022,Marine LE PEN,Marine LE PEN,True
22848,2017,Marine LE PEN,Marine LE PEN,True
11859,2022,Marine LE PEN,Marine LE PEN,True
35002,2017,Emmanuel MACRON,Emmanuel MACRON,True
12722,2022,Marine LE PEN,Marine LE PEN,True
29649,2017,Marine LE PEN,Marine LE PEN,True
12739,2022,Marine LE PEN,Marine LE PEN,True
3702,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
25641,2022,Jean LASSALLE,Emmanuel MACRON,False
3208,2017,Marine LE PEN,Marine LE PEN,True
5325,2022,Emmanuel MACRON,Emmanuel MACRON,True
20576,2017,Marine LE PEN,Marine LE PEN,True
8662,2022,Emmanuel MACRON,Emmanuel MACRON,True
25215,2017,François FILLON,Emmanuel MACRON,False
32649,2022,Marine LE PEN,Marine LE PEN,True
9896,2017,Emmanuel MACRON,Emmanuel MACRON,True
31046,2017,François FILLON,François FILLON,True
176,2017,Jean-Luc MÉLENCHON,François FILLON,False
11350,2017,Marine LE PEN,Marine LE PEN,True
625,2017,Marine LE PEN,Marine LE PEN,True
7119,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
1213,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
16806,2022,Emmanuel MACRON,Emmanuel MACRON,True
9144,2022,Marine LE PEN,Marine LE PEN,True
1246,2017,Emmanuel MACRON,François FILLON,False
1879,2017,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
18796,2022,Marine LE PEN,Marine LE PEN,True
27415,2022,Emmanuel MACRON,Emmanuel MACRON,True
22281,2022,Marine LE PEN,Marine LE PEN,True
24014,2017,Marine LE PEN,Marine LE PEN,True
7433,2022,Emmanuel MACRON,Emmanuel MACRON,True
13591,2022,Emmanuel MACRON,Emmanuel MACRON,True
5602,2017,Emmanuel MACRON,Emmanuel MACRON,True
24564,2017,Marine LE PEN,Marine LE PEN,True
11785,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
20668,2022,Marine LE PEN,Marine LE PEN,True
4894,2017,Marine LE PEN,Marine LE PEN,True
26782,2017,Marine LE PEN,Marine LE PEN,True
831,2017,Marine LE PEN,Marine LE PEN,True
5041,2022,Emmanuel MACRON,Emmanuel MACRON,True
30582,2022,Marine LE PEN,Marine LE PEN,True
1809,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
33090,2017,Marine LE PEN,Marine LE PEN,True
