Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
22275,2017,Marine LE PEN,Marine LE PEN,True
6720,2022,Marine LE PEN,Marine LE PEN,True
3761,2017,Marine LE PEN,Marine LE PEN,True
1990,2017,Marine LE PEN,Marine LE PEN,True
33298,2017,Emmanuel MACRON,Emmanuel MACRON,True
35653,2017,Emmanuel MACRON,Emmanuel MACRON,True
13285,2022,Marine LE PEN,Marine LE PEN,True
25649,2017,Jean LASSALLE,Emmanuel MACRON,False
12762,2017,Marine LE PEN,Marine LE PEN,True
33496,2022,Marine LE PEN,Marine LE PEN,True
31584,2017,Marine LE PEN,Marine LE PEN,True
15844,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
33547,2022,Marine LE PEN,Marine LE PEN,True
26781,2017,Marine LE PEN,Marine LE PEN,True
29127,2017,François FILLON,Emmanuel MACRON,False
31424,2022,Marine LE PEN,Marine LE PEN,True
7367,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
8967,2022,Emmanuel MACRON,Emmanuel MACRON,True
35664,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
16738,2022,Marine LE PEN,Marine LE PEN,True
10716,2017,François FILLON,François FILLON,True
3471,2022,Marine LE PEN,Marine LE PEN,True
17863,2022,Emmanuel MACRON,Emmanuel MACRON,True
19725,2017,François FILLON,François FILLON,True
7145,2022,Emmanuel MACRON,Emmanuel MACRON,True
30325,2022,Marine LE PEN,Marine LE PEN,True
7651,2022,Emmanuel MACRON,Emmanuel MACRON,True
19689,2022,Emmanuel MACRON,Emmanuel MACRON,True
33039,2022,Marine LE PEN,Marine LE PEN,True
289,2022,Emmanuel MACRON,Emmanuel MACRON,True
13131,2017,Marine LE PEN,Marine LE PEN,True
17855,2017,Emmanuel MACRON,François FILLON,False
28793,2017,Marine LE PEN,Marine LE PEN,True
7553,2022,Emmanuel MACRON,Emmanuel MACRON,True
34936,2017,Emmanuel MACRON,Emmanuel MACRON,True
1118,2017,Marine LE PEN,Marine LE PEN,True
31627,2022,Emmanuel MACRON,Emmanuel MACRON,True
2644,2022,Marine LE PEN,Marine LE PEN,True
27824,2017,Marine LE PEN,Marine LE PEN,True
24316,2017,Marine LE PEN,Marine LE PEN,True
6480,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
14288,2022,Emmanuel MACRON,Emmanuel MACRON,True
10965,2022,Jean LASSALLE,Emmanuel MACRON,False
32169,2022,Marine LE PEN,Marine LE PEN,True
31858,2022,Marine LE PEN,Marine LE PEN,True
9883,2017,Marine LE PEN,Marine LE PEN,True
33139,2022,Emmanuel MACRON,Emmanuel MACRON,True
32882,2017,François FILLON,François FILLON,True
29301,2022,Marine LE PEN,Marine LE PEN,True
21672,2017,Marine LE PEN,Marine LE PEN,True
33589,2022,Emmanuel MACRON,Emmanuel MACRON,True
21203,2022,Emmanuel MACRON,Emmanuel MACRON,True
30843,2022,Emmanuel MACRON,Emmanuel MACRON,True
33135,2022,Emmanuel MACRON,Emmanuel MACRON,True
5880,2017,Jean-Luc MÉLENCHON,François FILLON,False
3068,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
30417,2022,Marine LE PEN,Marine LE PEN,True
5115,2017,François FILLON,François FILLON,True
9399,2017,Marine LE PEN,Marine LE PEN,True
18286,2022,Emmanuel MACRON,Emmanuel MACRON,True
5919,2017,François FILLON,Emmanuel MACRON,False
17058,2022,Emmanuel MACRON,Emmanuel MACRON,True
21852,2017,Marine LE PEN,Marine LE PEN,True
3403,2017,Marine LE PEN,Marine LE PEN,True
13644,2022,Marine LE PEN,Marine LE PEN,True
33496,2017,Marine LE PEN,Marine LE PEN,True
29864,2017,Marine LE PEN,Marine LE PEN,True
17714,2017,François FILLON,François FILLON,True
23901,2022,Marine LE PEN,Marine LE PEN,True
31302,2022,Emmanuel MACRON,Emmanuel MACRON,True
14735,2017,Marine LE PEN,Marine LE PEN,True
14794,2017,Marine LE PEN,Marine LE PEN,True
7050,2022,Marine LE PEN,Marine LE PEN,True
30372,2022,Marine LE PEN,Marine LE PEN,True
14325,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
12934,2017,Marine LE PEN,Marine LE PEN,True
12411,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
26308,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
5620,2017,Emmanuel MACRON,Emmanuel MACRON,True
10931,2022,Emmanuel MACRON,Emmanuel MACRON,True
21103,2022,Emmanuel MACRON,Emmanuel MACRON,True
31146,2017,François FILLON,Emmanuel MACRON,False
7573,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
2556,2017,Marine LE PEN,Marine LE PEN,True
16102,2022,Marine LE PEN,Marine LE PEN,True
14665,2022,Marine LE PEN,Marine LE PEN,True
3923,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
9308,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
8145,2017,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
13740,2017,François FILLON,François FILLON,True
3857,2022,Marine LE PEN,Marine LE PEN,True
5708,2022,Marine LE PEN,Marine LE PEN,True
27531,2017,Marine LE PEN,Marine LE PEN,True
1035,2017,Marine LE PEN,Marine LE PEN,True
10746,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
20464,2022,Marine LE PEN,Marine LE PEN,True
17985,2022,Marine LE PEN,Marine LE PEN,True
14964,2022,Marine LE PEN,Marine LE PEN,True
3069,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
14563,2017,François FILLON,Emmanuel MACRON,False
1028,2022,Marine LE PEN,Marine LE PEN,True
9654,2022,Emmanuel MACRON,Emmanuel MACRON,True
34095,2022,Marine LE PEN,Marine LE PEN,True
18255,2017,Marine LE PEN,Marine LE PEN,True
19914,2022,Marine LE PEN,Marine LE PEN,True
17069,2017,Marine LE PEN,Marine LE PEN,True
22340,2017,François FILLON,Emmanuel MACRON,False
9161,2017,Marine LE PEN,Marine LE PEN,True
31530,2022,Marine LE PEN,Marine LE PEN,True
28364,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
32431,2022,Emmanuel MACRON,Emmanuel MACRON,True
29173,2022,Marine LE PEN,Marine LE PEN,True
7464,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
11232,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
25305,2022,Jean LASSALLE,Emmanuel MACRON,False
33696,2022,Marine LE PEN,Marine LE PEN,True
5803,2022,Emmanuel MACRON,Emmanuel MACRON,True
28000,2017,Marine LE PEN,Marine LE PEN,True
13507,2017,Emmanuel MACRON,Emmanuel MACRON,True
11193,2022,Marine LE PEN,Marine LE PEN,True
6426,2017,Emmanuel MACRON,Emmanuel MACRON,True
34457,2017,Marine LE PEN,Marine LE PEN,True
4126,2022,Emmanuel MACRON,Emmanuel MACRON,True
15321,2022,Emmanuel MACRON,Emmanuel MACRON,True
3813,2022,Marine LE PEN,Marine LE PEN,True
29693,2022,Marine LE PEN,Marine LE PEN,True
17937,2022,Marine LE PEN,Marine LE PEN,True
22229,2022,Emmanuel MACRON,Emmanuel MACRON,True
1061,2022,Marine LE PEN,Marine LE PEN,True
7142,2022,Emmanuel MACRON,Emmanuel MACRON,True
19200,2022,Marine LE PEN,Marine LE PEN,True
6651,2017,Marine LE PEN,Marine LE PEN,True
1491,2017,Emmanuel MACRON,Emmanuel MACRON,True
15298,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
12498,2017,Marine LE PEN,Marine LE PEN,True
7395,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
19134,2017,Emmanuel MACRON,Emmanuel MACRON,True
13842,2022,Marine LE PEN,Marine LE PEN,True
6898,2022,Marine LE PEN,Marine LE PEN,True
33754,2017,Marine LE PEN,Marine LE PEN,True
34195,2017,Marine LE PEN,Marine LE PEN,True
13728,2017,François FILLON,François FILLON,True
10549,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
21904,2022,Marine LE PEN,Marine LE PEN,True
34811,2017,Emmanuel MACRON,Emmanuel MACRON,True
31576,2022,Emmanuel MACRON,Emmanuel MACRON,True
17176,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
35125,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
23801,2022,Emmanuel MACRON,Emmanuel MACRON,True
7527,2022,Emmanuel MACRON,Emmanuel MACRON,True
